seed,uplink_sigma,L0,可用性AUC,特征R²均值,特征R²最差维,条件数
11,0.0,0.6562259244992295,0.6874598741653826,1.0,1.0,47756.061927462244
11,0.001,0.6562259244992295,0.6874518489984591,0.7468241798425043,0.019582863682855778,3455.8065836261885
11,0.003,0.6562259244992295,0.6874438238315357,0.5463455342304046,-0.035025381355504814,1522.3790073621346
11,0.01,0.6562259244992295,0.6874438238315357,0.36267480816398073,-0.062187556211398265,543.3429407744958
11,0.03,0.6562259244992295,0.6874277734976888,0.2977891319290967,-0.06300498448208014,184.05263178659033
11,0.1,0.6562259244992295,0.6875080251669236,0.1697025801754227,-0.10551734400507673,55.96586096092134
11,0.3,0.6562259244992295,0.6874919748330766,0.029913233937677402,-0.15935256904488537,18.76638406766479
11,1.0,0.6562259244992295,0.687652478171546,-0.020939933305176333,-0.1693059103184733,5.869242093300975
22,0.0,0.7509458144813848,0.8334671628653931,1.0,1.0,175999.18587877366
22,0.001,0.7509458144813848,0.8334671628653931,0.6669728776843291,0.5059164414007445,5866.071140305673
22,0.003,0.7509458144813848,0.8334671628653931,0.6038416655808625,0.46634879688607567,1968.5327161304124
22,0.01,0.7509458144813848,0.8334903256690189,0.47932935350031286,0.018504635381260126,597.168641759507
22,0.03,0.7509458144813848,0.8334748837999352,0.3524585814435786,-0.15562208978963143,201.8227262829867
22,0.1,0.7509458144813848,0.8334748837999352,0.22099097198415452,-0.17905132701712811,68.91690020201005
22,0.3,0.7509458144813848,0.8334980466035609,0.11132912438038316,-0.17865321629586717,23.61164297484115
22,1.0,0.7509458144813848,0.8335675350144381,0.06513238915639846,-0.18234850837636274,7.5313043573524645
33,0.0,0.6904291905062998,0.794711842450226,1.0,1.0,42617.70832739103
33,0.001,0.6904291905062998,0.794711842450226,0.8169977335204762,0.2346890799803787,4994.803202041094
33,0.003,0.6904291905062998,0.7947195533827861,0.7655608337745922,0.21936251139865837,1706.4120041232009
33,0.01,0.6904291905062998,0.7947272643153463,0.5600077804086563,0.22059506227399117,556.0446878076598
33,0.03,0.6904291905062998,0.7947195533827862,0.38446743240811165,0.17121787227233543,204.8465130690697
33,0.1,0.6904291905062998,0.7947658189781472,0.1794096583099365,-0.0374253176781556,67.62271780259019
33,0.3,0.6904291905062998,0.7947812408432676,0.05355693114043745,-0.10745137016777151,23.79689541161673
33,1.0,0.6904291905062998,0.794966303224712,0.025180863058393527,-0.12001612457067035,7.644523960428771
44,0.0,0.7007073329837172,0.814680037349228,1.0,1.0,50374.858662857674
44,0.001,0.7007073329837172,0.8146864327649941,0.7014663601534661,0.4287746325189997,6283.2250878265995
44,0.003,0.7007073329837172,0.8146864327649941,0.6050775951072686,0.30860105984468944,2141.1143643328032
44,0.01,0.7007073329837172,0.81469282818076,0.5114263620735845,0.24026207865819993,660.2338422138063
44,0.03,0.7007073329837172,0.8146928281807599,0.47049470960413436,0.1652062038939195,222.0673595817258
44,0.1,0.7007073329837172,0.8146928281807599,0.31372547545137264,0.14851675872070857,67.22121579674193
44,0.3,0.7007073329837172,0.8146416648546322,0.14450515448463988,-0.059031425228351475,23.020660021985044
44,1.0,0.7007073329837172,0.8147184098438239,0.06900996865746152,-0.12213558155854742,7.481214417469207
55,0.0,0.746092972708209,0.803860341950988,1.0,1.0,26487.578865189505
55,0.001,0.746092972708209,0.8038679952855459,0.8144835200033081,0.38475623997373376,4152.001338869897
55,0.003,0.746092972708209,0.8038679952855459,0.6986990613973386,0.310553153715033,1406.4012759857208
55,0.01,0.746092972708209,0.8038756486201037,0.42090228694842863,0.01957119843181332,547.6872813761853
55,0.03,0.746092972708209,0.8038756486201037,0.2638479475401454,-0.06377285678040212,197.11767345842023
55,0.1,0.746092972708209,0.8039062619583353,0.09821727216349431,-0.11837097310247091,62.35947702417983
55,0.3,0.746092972708209,0.8038756486201037,0.018119926709418404,-0.18612073748312818,21.297159761150454
55,1.0,0.746092972708209,0.8039521819656825,0.0002590836593354869,-0.1970849708626401,6.839883405464335
