seed,dp_sigma,尾部平均轮数,打分相关,名单重合
11,0.0,1,0.9999998758041179,1.0
11,0.0,10,0.9999960793737581,1.0
11,0.0,50,0.9998971766667202,0.9980237154150198
11,0.0,200,0.9959269616405797,0.9901185770750988
11,1.0,1,0.005164815503734466,0.11857707509881422
11,1.0,10,0.020081000582031567,0.16205533596837945
11,1.0,50,0.08916063569367674,0.2015810276679842
11,1.0,200,0.15639660528390034,0.2964426877470356
11,3.0,1,0.0037970590410249085,0.08300395256916997
11,3.0,10,-0.00023280221868013018,0.11857707509881422
11,3.0,50,0.03972666563789794,0.13043478260869565
11,3.0,200,0.06578053262326201,0.16205533596837945
11,10.0,1,0.015042015583444672,0.11067193675889328
11,10.0,10,-0.0002935875820928901,0.10276679841897234
11,10.0,50,0.0334562974739533,0.09288537549407115
11,10.0,200,0.05410501041516076,0.11264822134387352
11,30.0,1,0.07139767659521076,0.08102766798418973
11,30.0,10,0.05753569482099831,0.08498023715415019
11,30.0,50,0.08113033686257666,0.09881422924901186
11,30.0,200,0.08858791217845116,0.1007905138339921
22,0.0,1,0.9999998220589711,1.0
22,0.0,10,0.9999944229552812,1.0
22,0.0,50,0.9998584007619017,0.998003992015968
22,0.0,200,0.9950174334707245,0.9920159680638723
22,1.0,1,0.05861181810374804,0.1497005988023952
22,1.0,10,0.04771910246687478,0.17964071856287425
22,1.0,50,0.13283103543304295,0.3253493013972056
22,1.0,200,0.19713941977419452,0.4870259481037924
22,3.0,1,0.03462241770141565,0.12974051896207583
22,3.0,10,0.0114313252209852,0.13572854291417166
22,3.0,50,0.04688734770698957,0.1536926147704591
22,3.0,200,0.07542837467352297,0.21357285429141717
22,10.0,1,0.031075711882324972,0.1317365269461078
22,10.0,10,-0.014822318750875085,0.11776447105788423
22,10.0,50,-0.008851322698771289,0.09381237524950099
22,10.0,200,-0.00438997824070065,0.0998003992015968
22,30.0,1,0.026678230902320983,0.13373253493013973
22,30.0,10,-0.022307427831236636,0.10179640718562874
22,30.0,50,-0.010822900169711583,0.11776447105788423
22,30.0,200,-0.015342826097179088,0.09580838323353294
33,0.0,1,0.9999999445299986,1.0
33,0.0,10,0.9999982473234607,1.0
33,0.0,50,0.9999538448447082,0.9980392156862745
33,0.0,200,0.9981289682385258,0.9921568627450981
33,1.0,1,0.039286082697762556,0.10980392156862745
33,1.0,10,0.08876303536232667,0.1803921568627451
33,1.0,50,0.10517016657656562,0.2529411764705882
33,1.0,200,0.19033062702964634,0.4411764705882353
33,3.0,1,0.018385985769110044,0.1
33,3.0,10,0.0463217426573507,0.12352941176470589
33,3.0,50,0.027478180513701933,0.14313725490196078
33,3.0,200,0.06201303336693635,0.16862745098039217
33,10.0,1,0.015072353823807423,0.08627450980392157
33,10.0,10,0.021441620014820185,0.08235294117647059
33,10.0,50,-0.00887712123545708,0.1
33,10.0,200,-0.01613893540452916,0.09019607843137255
33,30.0,1,0.04172348243695416,0.06470588235294118
33,30.0,10,0.04200883761434258,0.0784313725490196
33,30.0,50,0.027754936578451586,0.09215686274509804
33,30.0,200,0.024079800390841156,0.10392156862745099
