seed,dp_sigma,label_accuracy,score_correlation,topk_overlap,base_rate_used,round_averaged
11,0.0,1.0,0.9999998758041181,1.0,0.025271470878578478,False
11,0.0,1.0,0.9999998758041181,1.0,0.025271470878578478,True
11,1.0,0.9565646594274433,-0.0033254181190921217,0.10869565217391304,0.025271470878578478,False
11,1.0,1.0,0.005164815503734466,0.11857707509881422,0.025271470878578478,True
11,3.0,0.9510365251727542,0.0008642086665161916,0.08695652173913043,0.025271470878578478,False
11,3.0,1.0,0.003797059041024914,0.08300395256916997,0.025271470878578478,True
11,10.0,0.9506416584402764,0.014917140897301683,0.11264822134387352,0.025271470878578478,False
11,10.0,0.9707798617966437,0.015042015583444668,0.11067193675889328,0.025271470878578478,True
11,30.0,0.9506416584402764,0.07102768505469818,0.08498023715415019,0.025271470878578478,False
11,30.0,0.9530108588351431,0.07139767659521075,0.08102766798418973,0.025271470878578478,True
22,0.0,1.0,0.9999998220589711,1.0,0.029294539657233956,False
22,0.0,1.0,0.9999998220589711,1.0,0.029294539657233956,True
22,1.0,0.9517736149860502,0.037485684732082816,0.1277445109780439,0.029294539657233956,False
22,1.0,1.0,0.05861181810374806,0.1497005988023952,0.029294539657233956,True
22,3.0,0.9445994420087684,0.024364038596595743,0.1277445109780439,0.029294539657233956,False
22,3.0,0.9984057393383818,0.03462241770141563,0.12974051896207583,0.029294539657233956,True
22,10.0,0.9430051813471503,0.028615119245248812,0.13373253493013973,0.029294539657233956,False
22,10.0,0.9617377441211639,0.031075711882324976,0.1317365269461078,0.029294539657233956,True
22,30.0,0.9430051813471503,0.026184319675104834,0.13373253493013973,0.029294539657233956,False
22,30.0,0.9461937026703866,0.02667823090232099,0.13373253493013973,0.029294539657233956,True
33,0.0,1.0,0.9999999445299985,1.0,0.03410427283418267,False
33,0.0,1.0,0.9999999445299985,1.0,0.03410427283418267,True
33,1.0,0.942375539004312,0.022870115937503144,0.10588235294117647,0.03410427283418267,False
33,1.0,1.0,0.03928608269776258,0.10980392156862745,0.03410427283418267,True
33,3.0,0.9349274794198353,0.011318366999459324,0.10588235294117647,0.03410427283418267,False
33,3.0,0.999607996863975,0.018385985769110037,0.1,0.03410427283418267,True
33,10.0,0.9337514700117601,0.015056903777500246,0.11764705882352941,0.03410427283418267,False
33,10.0,0.9615836926695414,0.015072353823807434,0.08627450980392157,0.03410427283418267,True
33,30.0,0.9337514700117601,0.041229356096572835,0.08823529411764706,0.03410427283418267,False
33,30.0,0.9411995295962368,0.04172348243695414,0.06470588235294118,0.03410427283418267,True
44,0.0,1.0,0.9999998372878252,1.0,0.02920423363386907,False
44,0.0,1.0,0.9999998372878252,1.0,0.02920423363386907,True
44,1.0,0.9517836142689141,-0.003196839977549483,0.09215686274509804,0.02920423363386907,False
44,1.0,1.0,0.011645646341439865,0.11176470588235295,0.02920423363386907,True
44,3.0,0.9455115640925127,-0.012637119134960895,0.10196078431372549,0.02920423363386907,False
44,3.0,0.999607996863975,-0.007578324082267103,0.10392156862745099,0.02920423363386907,True
44,10.0,0.9443355546844375,-0.011792544959894118,0.10392156862745099,0.02920423363386907,False
44,10.0,0.9655037240297922,-0.01152050863228659,0.10196078431372549,0.02920423363386907,True
44,30.0,0.9435515484123873,0.046625804051521204,0.06862745098039216,0.02920423363386907,False
44,30.0,0.9486475891807135,0.04638653405948509,0.06862745098039216,0.02920423363386907,True
55,0.0,1.0,0.9999999540026806,1.0,0.032504012841091494,False
55,0.0,1.0,0.9999999540026806,1.0,0.032504012841091494,True
55,1.0,0.9458266452648475,-0.014297203173802332,0.08433734939759036,0.032504012841091494,False
55,1.0,1.0,0.00667680978245465,0.11244979919678715,0.032504012841091494,True
55,3.0,0.9398073836276083,-0.01495924840068851,0.09839357429718876,0.032504012841091494,False
55,3.0,0.9995987158908507,-0.007283628376714832,0.10642570281124498,0.032504012841091494,True
55,10.0,0.9382022471910112,-0.015994200543292574,0.13052208835341367,0.032504012841091494,False
55,10.0,0.9610754414125201,-0.015767114722633306,0.12650602409638553,0.032504012841091494,True
55,30.0,0.937800963081862,-0.026301740604007487,0.11044176706827309,0.032504012841091494,False
55,30.0,0.9406099518459069,-0.02598936381822762,0.08835341365461848,0.032504012841091494,True
