scenario,seed,level,membership_auc,loss_gap,效用AUC
S1_基准,11,L0_内地单方,0.5078620039895909,0.007285087750597788,0.6562259244992295
S1_基准,11,L1_加k匿名统计,0.5087712342040802,0.0082517024029998,0.6469729070364664
S1_基准,11,L4_集中式,0.5046148571563684,0.012474532476224764,0.6869221879815102
S1_基准,11,L3a_联邦LR,0.5047126189567861,0.01195261536972149,0.6874598741653826
S1_基准,11,L3b_纵向GBDT_深3,0.5114406315321366,0.034518969672455754,0.656675333846944
S1_基准,11,L3b_纵向GBDT_深6,0.5206180546493011,0.0792797596929094,0.6289403569594247
S1_基准,22,L0_内地单方,0.5059997861719197,-0.0007751381196449414,0.7509458144813848
S1_基准,22,L1_加k匿名统计,0.5064310555454571,-0.00011461769493835428,0.7505443258852051
S1_基准,22,L4_集中式,0.5118914538993885,0.005769715680092297,0.8334980466035609
S1_基准,22,L3a_联邦LR,0.5117649914515091,0.004801413629275761,0.8334671628653931
S1_基准,22,L3b_纵向GBDT_深3,0.5043422479631208,0.031996661483569014,0.7983523525687549
S1_基准,22,L3b_纵向GBDT_深6,0.500659735598058,0.07795134841424048,0.7950323507157306
S1_基准,33,L0_内地单方,0.5026564620381618,-0.017632865362505912,0.6904291905062998
S1_基准,33,L1_加k匿名统计,0.5012406262944662,-0.017612537374337364,0.6920330644788182
S1_基准,33,L4_集中式,0.5012769228811352,-0.01992286902260279,0.7945807565967028
S1_基准,33,L3a_联邦LR,0.5013463793124154,-0.0195817856065508,0.794711842450226
S1_基准,33,L3b_纵向GBDT_深3,0.5208125524172003,0.004294538764712974,0.787247659731968
S1_基准,33,L3b_纵向GBDT_深6,0.5275126334526908,0.05787815337688383,0.7561340468516262
S1_基准,44,L0_内地单方,0.5008144774806118,0.018115114176783687,0.7007073329837172
S1_基准,44,L1_加k匿名统计,0.5009159286808818,0.018560820405529074,0.7002148859697369
S1_基准,44,L4_集中式,0.5053149853639616,0.015191318520263286,0.8144945702920147
S1_基准,44,L3a_联邦LR,0.5052554768860648,0.014396651197592383,0.814680037349228
S1_基准,44,L3b_纵向GBDT_深3,0.5044746521666732,0.04266247448666102,0.7892902367582917
S1_基准,44,L3b_纵向GBDT_深6,0.5107018469316479,0.09048072978706509,0.7833488955116972
S1_基准,55,L0_内地单方,0.5032568421100071,-0.010457186432191137,0.746092972708209
S1_基准,55,L1_加k匿名统计,0.5049177489632711,-0.009576091627219951,0.7443709724326889
S1_基准,55,L4_集中式,0.5012959580155797,-0.011134448848715672,0.8041741286678605
S1_基准,55,L3a_联邦LR,0.5013113559083968,-0.010816739202153966,0.803860341950988
S1_基准,55,L3b_纵向GBDT_深3,0.5010017080394276,0.015586675220491758,0.7879720194088564
S1_基准,55,L3b_纵向GBDT_深6,0.508280967979143,0.06803713719431359,0.7714408167638639
S8_稀疏正样本,11,L0_内地单方,0.5053728521391418,0.002716117065317103,0.6543729211504598
S8_稀疏正样本,11,L1_加k匿名统计,0.5044099666109348,0.0032561285576317434,0.6368861279593034
S8_稀疏正样本,11,L4_集中式,0.5063371017854943,0.008010357762322347,0.6968059088241048
S8_稀疏正样本,11,L3a_联邦LR,0.5070245263895476,0.005349976867261824,0.7006701232635492
S8_稀疏正样本,11,L3b_纵向GBDT_深3,0.5075144266861523,0.024898287829313564,0.5993445509684994
S8_稀疏正样本,11,L3b_纵向GBDT_深6,0.5105314013176472,0.043277911787997704,0.5511641557425161
S8_稀疏正样本,22,L0_内地单方,0.5034455226642015,-0.005955151050507541,0.824730173627405
S8_稀疏正样本,22,L1_加k匿名统计,0.5012760199960755,-0.0053957304084590665,0.8224777099953073
S8_稀疏正样本,22,L4_集中式,0.512502920680344,-0.0021396404647423956,0.9132332238385734
S8_稀疏正样本,22,L3a_联邦LR,0.5115816440637044,-0.00226530644973396,0.9117081182543406
S8_稀疏正样本,22,L3b_纵向GBDT_深3,0.5024611537933454,0.017078388351799485,0.883575786015955
S8_稀疏正样本,22,L3b_纵向GBDT_深6,0.5007490931299113,0.03720823527885894,0.8574612857813233
S8_稀疏正样本,33,L0_内地单方,0.5031251809228009,-0.0001885071600171498,0.6918824163969796
S8_稀疏正样本,33,L1_加k匿名统计,0.5007556859723283,0.0001231780856244466,0.6895322854060719
S8_稀疏正样本,33,L4_集中式,0.5011322742616691,-0.004098981535469719,0.8888118354137772
S8_稀疏正样本,33,L3a_联邦LR,0.501636841626969,-0.002836072905188086,0.8877716134997689
S8_稀疏正样本,33,L3b_纵向GBDT_深3,0.5108010576018764,0.02151379815781663,0.8232393280936969
S8_稀疏正样本,33,L3b_纵向GBDT_深6,0.5132804281455743,0.04192584044060574,0.7750423794113115
S8_稀疏正样本,44,L0_内地单方,0.5007805110451857,0.016600945996376286,0.7335245143385755
S8_稀疏正样本,44,L1_加k匿名统计,0.5013657374919722,0.01733438657670105,0.7195374653098983
S8_稀疏正样本,44,L4_集中式,0.5026817352170276,0.010595274073136998,0.9103422756706753
S8_稀疏正样本,44,L3a_联邦LR,0.502632443556119,0.011188760205099658,0.9139500462534691
S8_稀疏正样本,44,L3b_纵向GBDT_深3,0.5043903634265197,0.03309359938153271,0.8654024051803886
S8_稀疏正样本,44,L3b_纵向GBDT_深6,0.5082290187356706,0.050802143976619446,0.8505272895467161
S8_稀疏正样本,55,L0_内地单方,0.5040553730759206,-0.009438616435600913,0.8165277122332337
S8_稀疏正样本,55,L1_加k匿名统计,0.5059430232898762,-0.00921294372693695,0.8190446227256043
S8_稀疏正样本,55,L4_集中式,0.5007281137731523,-0.007375082927267358,0.851633370038278
S8_稀疏正样本,55,L3a_联邦LR,0.5010348510648206,-0.007016375481969615,0.8501127366158041
S8_稀疏正样本,55,L3b_纵向GBDT_深3,0.5043513130646989,0.011341983508278093,0.8327827591631273
S8_稀疏正样本,55,L3b_纵向GBDT_深6,0.5098341834722774,0.030290234115609715,0.8518955482145665
