seed,uplink_sigma,L0,训练加噪·推理干净,训练与推理均加噪,打分标准差
11,0.0,0.6562259244992295,0.6874598741653826,0.6874598741653826,0.8605120397242372
11,0.01,0.6562259244992295,0.6874438238315357,0.6874759244992296,0.8605285964993895
11,0.03,0.6562259244992295,0.6874277734976888,0.6848356445814073,0.8605792053737282
11,0.1,0.6562259244992295,0.6875080251669236,0.6791137005649718,0.8609406398364963
11,0.3,0.6562259244992295,0.6874919748330766,0.6515552773497689,0.8636075870318602
11,1.0,0.6562259244992295,0.687652478171546,0.6433375064201337,0.897705624742194
11,3.0,0.6562259244992295,0.6879173086800204,0.5375337057010786,1.2004149235231707
22,0.0,0.7509458144813848,0.8334671628653931,0.8334671628653931,1.4099882810344575
22,0.01,0.7509458144813848,0.8334903256690189,0.8335212094071867,1.4100092599934593
22,0.03,0.7509458144813848,0.8334748837999352,0.8341002794978305,1.4101027646344808
22,0.1,0.7509458144813848,0.8334748837999352,0.8363007458422766,1.4109722769587314
22,0.3,0.7509458144813848,0.8334980466035609,0.8243101344986796,1.41814999522766
22,1.0,0.7509458144813848,0.8335675350144381,0.7874040673883167,1.500283125297733
22,3.0,0.7509458144813848,0.8334671628653931,0.6609814851989685,2.0601765849190667
33,0.0,0.6904291905062998,0.794711842450226,0.794711842450226,1.021022926797941
33,0.01,0.6904291905062998,0.7947272643153463,0.7951205218759156,1.0210235454309655
33,0.03,0.6904291905062998,0.7947195533827862,0.7929229060962633,1.0210608986146896
33,0.1,0.6904291905062998,0.7947658189781472,0.7983514026186327,1.021572127021221
33,0.3,0.6904291905062998,0.7947812408432676,0.7745246210076646,1.0263594238371498
33,1.0,0.6904291905062998,0.794966303224712,0.691986798883457,1.0863246736315046
33,3.0,0.6904291905062998,0.79572197461561,0.5962864148790155,1.5336428854413444
44,0.0,0.7007073329837172,0.814680037349228,0.814680037349228,1.3071294182654094
44,0.01,0.7007073329837172,0.81469282818076,0.814712014428058,1.307133652084984
44,0.03,0.7007073329837172,0.8146928281807599,0.8137271204000972,1.3071826002294964
44,0.1,0.7007073329837172,0.8146928281807599,0.8100625471661913,1.3077792137873392
44,0.3,0.7007073329837172,0.8146416648546322,0.8004566326856909,1.3131733753936687
44,1.0,0.7007073329837172,0.8147184098438239,0.7583172382036556,1.3794427572574632
44,3.0,0.7007073329837172,0.8151724843632084,0.6553702306186925,1.8738504136983136
55,0.0,0.746092972708209,0.803860341950988,0.803860341950988,1.0971404157189149
55,0.01,0.746092972708209,0.8038756486201037,0.8040899419877241,1.0971004894424807
55,0.03,0.746092972708209,0.8038756486201037,0.8036460485833677,1.097057340390047
55,0.1,0.746092972708209,0.8039062619583353,0.8031945018444535,1.0972926062878403
55,0.3,0.746092972708209,0.8038756486201037,0.7913165266106442,1.1013318355096082
55,1.0,0.746092972708209,0.8039521819656825,0.7214951554392249,1.1590900738663652
55,3.0,0.746092972708209,0.8038450352818722,0.6458036766619216,1.609576059467831
