seed,uplink_sigma,n_aux,朴素最小二乘,加强版(最优岭系数)
11,0.0,8,0.9999999999999986,0.9999999999999986
11,0.0,64,0.9999999999999968,0.9999999999999968
11,0.0,512,0.9999999999999978,0.9999999999999978
11,0.0,2000,0.9999999999999969,0.9999999999999969
11,0.01,8,0.29238136439237694,0.33110381312059384
11,0.01,64,0.36267480816275444,0.38907392234246396
11,0.01,512,0.01964420877359248,0.39603974178508244
11,0.01,2000,-1.024901261139835,0.43732554012488817
11,0.1,8,0.14249689689716735,0.14343281502126035
11,0.1,64,0.1697025801754033,0.19738662445459232
11,0.1,512,-0.41256268095678666,0.20296175178131723
11,0.1,2000,-2.4948685517009386,0.25606003481107736
11,1.0,8,0.06783427549445627,0.07129210257368405
11,1.0,64,-0.020939933305176423,0.08398404948933075
11,1.0,512,-0.8954830019053995,0.08589452071116978
11,1.0,2000,-3.7853318372085334,0.08563171761585638
22,0.0,8,0.9999999999902753,0.9999999999902753
22,0.0,64,0.9999999999959069,0.9999999999959069
22,0.0,512,0.9999999999941803,0.9999999999941803
22,0.0,2000,0.9999999999951207,0.9999999999951207
22,0.01,8,0.33021847579082236,0.35482172539669515
22,0.01,64,0.4793293534996336,0.4920764105644648
22,0.01,512,0.14847347014403536,0.503279633834886
22,0.01,2000,-1.09673699180087,0.5532062013135688
22,0.1,8,0.16543453253644894,0.20162275921228523
22,0.1,64,0.22099097198413067,0.24701568995520995
22,0.1,512,-0.3871988206127568,0.22356268681779937
22,0.1,2000,-2.4517956949949915,0.2886856388621206
22,1.0,8,0.1294235050438087,0.14823922314682977
22,1.0,64,0.06513238915639837,0.17210495830315328
22,1.0,512,-0.7908137053779228,0.17432980040134635
22,1.0,2000,-3.553821691150432,0.1756476396951697
33,0.0,8,0.9999999999999752,0.9999999999999752
33,0.0,64,0.9999999999999772,0.9999999999999772
33,0.0,512,0.999999999999973,0.999999999999973
33,0.0,2000,0.9999999999999735,0.9999999999999735
33,0.01,8,0.23911754468600632,0.3409805558984968
33,0.01,64,0.560007780406903,0.5626910244198203
33,0.01,512,0.48150526974773716,0.6449548453570881
33,0.01,2000,-0.04592444822135457,0.6731510466552634
33,0.1,8,-0.10100352750496329,0.13870342997121335
33,0.1,64,0.17940965830996447,0.2050454046169979
33,0.1,512,-0.30317513917145783,0.25017810191193585
33,0.1,2000,-1.9930215675557283,0.2947812754995048
33,1.0,8,-0.012175468501660828,0.09351639549561354
33,1.0,64,0.02518086305839473,0.12575330185320355
33,1.0,512,-0.9285294305166909,0.1266384196196982
33,1.0,2000,-3.4736892811099302,0.126300062287613
