valid_auc,test_auc,point,level,seed,n_points,scenario,signal_form,complementarity
0.81035777385159,0.671889880952381,"{'dim_embed': 8, 'dim_hidden': 32, 'nn_epochs': 16, 'nn_lr': 0.03}",L3c_SplitNN,11,54,N2_交互_高,interaction,2.0
0.7099311000237587,0.7534081796311147,{'c_reg': 1.0},L0_LR,22,5,N2_交互_高,interaction,2.0
0.721335234022333,0.7611434108527132,"{'c_reg': 100.0, 'k_anonymity': 5, 'n_segments': 16}",L1_LR,22,60,N2_交互_高,interaction,2.0
0.7090045141363744,0.7532076984763434,{'c_reg': 0.01},L2_LR,22,5,N2_交互_高,interaction,2.0
0.774031836540746,0.7899124565624165,{'c_reg': 0.01},L4_LR,22,5,N2_交互_高,interaction,2.0
0.7735091470658114,0.7895282010157711,"{'flr_l2': 0.01, 'flr_lr': 0.5, 'flr_rounds': 200}",L3a_联邦LR,22,27,N2_交互_高,interaction,2.0
0.8637205987170349,0.8906041165463779,"{'gbdt_lr': 0.3, 'max_depth': 3, 'n_rounds': 120, 'reg_lambda': 1.0}",L3b_纵向GBDT,22,81,N2_交互_高,interaction,2.0
0.8021620337372297,0.8095763164929163,"{'dim_embed': 2, 'dim_hidden': 32, 'nn_epochs': 16, 'nn_lr': 0.03}",L3c_SplitNN,22,54,N2_交互_高,interaction,2.0
0.683627584125547,0.787232295361976,{'c_reg': 10.0},L0_LR,33,5,N2_交互_高,interaction,2.0
0.6920024143654746,0.7790861910392852,"{'c_reg': 0.1, 'k_anonymity': 5, 'n_segments': 1024}",L1_LR,33,60,N2_交互_高,interaction,2.0
0.6905236155122981,0.7930298252529234,{'c_reg': 100.0},L2_LR,33,5,N2_交互_高,interaction,2.0
0.7769880790704693,0.8732919458678229,{'c_reg': 0.01},L4_LR,33,5,N2_交互_高,interaction,2.0
0.7770031688546853,0.8730455919064511,"{'flr_l2': 0.01, 'flr_lr': 0.1, 'flr_rounds': 400}",L3a_联邦LR,33,27,N2_交互_高,interaction,2.0
0.7993964086313566,0.80597162002365,"{'gbdt_lr': 0.3, 'max_depth': 4, 'n_rounds': 60, 'reg_lambda': 10.0}",L3b_纵向GBDT,33,81,N2_交互_高,interaction,2.0
0.7743775464010865,0.8603994218893706,"{'dim_embed': 4, 'dim_hidden': 32, 'nn_epochs': 8, 'nn_lr': 0.03}",L3c_SplitNN,33,54,N2_交互_高,interaction,2.0
0.760938602681722,0.8413540122400882,{'c_reg': 0.01},L0_LR,44,5,N2_交互_高,interaction,2.0
0.7694071983062808,0.8451742882122629,"{'c_reg': 0.01, 'k_anonymity': 5, 'n_segments': 1024}",L1_LR,44,60,N2_交互_高,interaction,2.0
0.7632674664784757,0.8411449424107652,{'c_reg': 0.01},L2_LR,44,5,N2_交互_高,interaction,2.0
0.7967360621030346,0.9002546850648117,{'c_reg': 0.1},L4_LR,44,5,N2_交互_高,interaction,2.0
0.8030522230063514,0.9023263770099212,"{'flr_l2': 0.0001, 'flr_lr': 0.1, 'flr_rounds': 200}",L3a_联邦LR,44,27,N2_交互_高,interaction,2.0
0.839484827099506,0.8796137910061961,"{'gbdt_lr': 0.1, 'max_depth': 4, 'n_rounds': 120, 'reg_lambda': 10.0}",L3b_纵向GBDT,44,81,N2_交互_高,interaction,2.0
0.8144318983768525,0.8705097502565857,"{'dim_embed': 2, 'dim_hidden': 16, 'nn_epochs': 16, 'nn_lr': 0.01}",L3c_SplitNN,44,54,N2_交互_高,interaction,2.0
0.688115912066708,0.7159003180681223,{'c_reg': 0.01},L0_LR,55,5,N2_交互_高,interaction,2.0
0.6922162497415754,0.7154834326652874,"{'c_reg': 0.01, 'k_anonymity': 5, 'n_segments': 1024}",L1_LR,55,60,N2_交互_高,interaction,2.0
0.6943008751981257,0.7216440725071795,{'c_reg': 0.01},L2_LR,55,5,N2_交互_高,interaction,2.0
0.704500034456619,0.7343204767933792,{'c_reg': 0.01},L4_LR,55,5,N2_交互_高,interaction,2.0
0.7031389980015161,0.7339035913905444,"{'flr_l2': 0.01, 'flr_lr': 0.1, 'flr_rounds': 800}",L3a_联邦LR,55,27,N2_交互_高,interaction,2.0
0.8326958858796775,0.8064493715838557,"{'gbdt_lr': 0.05, 'max_depth': 4, 'n_rounds': 30, 'reg_lambda': 1.0}",L3b_纵向GBDT,55,81,N2_交互_高,interaction,2.0
0.7476397215905176,0.7706358274403237,"{'dim_embed': 2, 'dim_hidden': 16, 'nn_epochs': 16, 'nn_lr': 0.03}",L3c_SplitNN,55,54,N2_交互_高,interaction,2.0
0.6476148409893993,0.6823894464957443,{'c_reg': 1.0},L0_LR,11,5,N3_阶跃_基准,threshold,0.8
0.6698763250883392,0.6811239967410334,"{'c_reg': 100.0, 'k_anonymity': 5, 'n_segments': 1024}",L1_LR,11,60,N3_阶跃_基准,threshold,0.8
0.6306316254416962,0.670272331721185,{'c_reg': 0.01},L2_LR,11,5,N3_阶跃_基准,threshold,0.8
0.6619037102473498,0.6968294416419644,{'c_reg': 10.0},L4_LR,11,5,N3_阶跃_基准,threshold,0.8
0.6618374558303887,0.6969507861389915,"{'flr_l2': 0.0001, 'flr_lr': 0.5, 'flr_rounds': 800}",L3a_联邦LR,11,27,N3_阶跃_基准,threshold,0.8
0.6517999116607774,0.6978782047948411,"{'gbdt_lr': 0.1, 'max_depth': 3, 'n_rounds': 30, 'reg_lambda': 10.0}",L3b_纵向GBDT,11,81,N3_阶跃_基准,threshold,0.8
0.679726148409894,0.6551042695928025,"{'dim_embed': 2, 'dim_hidden': 32, 'nn_epochs': 16, 'nn_lr': 0.03}",L3c_SplitNN,11,54,N3_阶跃_基准,threshold,0.8
0.7906779972777103,0.7220740053358079,{'c_reg': 0.01},L0_LR,22,5,N3_阶跃_基准,threshold,0.8
0.7946326748335356,0.7210107102810965,"{'c_reg': 1.0, 'k_anonymity': 5, 'n_segments': 1024}",L1_LR,22,60,N3_阶跃_基准,threshold,0.8
0.7918000220726189,0.7228279781927851,{'c_reg': 0.01},L2_LR,22,5,N3_阶跃_基准,threshold,0.8
0.8408564176139498,0.8377605072884042,{'c_reg': 0.01},L4_LR,22,5,N3_阶跃_基准,threshold,0.8
0.8381893094949049,0.8382244905850056,"{'flr_l2': 0.01, 'flr_lr': 1.0, 'flr_rounds': 800}",L3a_联邦LR,22,27,N3_阶跃_基准,threshold,0.8
