scenario,seed,split,level,algo,n_usable,n_test,auc,ks,lift@5,recall@5,lift@10,recall@10,lift@20,recall@20,comm_floats,comm_rounds,comm_grad_msgs,comm_hist_msgs,gradient_returned,auuc,uplift@10,topk_overlap@10
S5_低重叠高漂移,11,random,OVERLAP_L1_vs_L3c_SplitNN_形态A双向,top_k_overlap,,,,,,,,,,,,,,,,,,0.35135135135135137
S5_低重叠高漂移,11,oot,L0_内地单方_LR,logistic,2469.0,741.0,0.660124826629681,0.31324549237170596,3.004054054054054,0.15,2.002702702702703,0.2,1.7523648648648649,0.35,0.0,,,,,,,
S5_低重叠高漂移,11,oot,L1_加k匿名统计_LR,logistic,2469.0,741.0,0.668377253814147,0.3326629680998613,2.002702702702703,0.1,2.002702702702703,0.2,2.002702702702703,0.4,372.0,,,,,,,
S5_低重叠高漂移,11,oot,L2_加粗粒度标记_LR,logistic,2469.0,741.0,0.6873786407766991,0.3326629680998613,1.0013513513513514,0.05,2.5033783783783785,0.25,2.2530405405405407,0.45,0.0,,,,,,,
S5_低重叠高漂移,11,oot,L4_集中式_LR,logistic,2469.0,741.0,0.7228848821081831,0.36990291262135916,4.005405405405406,0.2,3.004054054054054,0.3,2.5033783783783785,0.5,0.0,,,,,,,
S5_低重叠高漂移,11,oot,L0_内地单方_GBDT,gbdt,2469.0,741.0,0.5386615811373093,0.15915395284327327,0.0,0.0,1.0013513513513514,0.1,0.7510135135135135,0.15,0.0,60.0,0.0,0.0,,,,
S5_低重叠高漂移,11,oot,L4_集中式_GBDT,gbdt,2469.0,741.0,0.4472260748959779,0.1710818307905686,0.0,0.0,0.5006756756756757,0.05,1.0013513513513514,0.2,776580.0,60.0,406.0,406.0,,,,
S5_低重叠高漂移,11,oot,L3a_联邦LR,federated_logistic,2469.0,741.0,0.7016643550624133,0.3490291262135923,4.005405405405406,0.2,2.5033783783783785,0.25,2.002702702702703,0.4,1382400.0,400.0,,,,,,
S5_低重叠高漂移,11,oot,L3b_纵向GBDT,vertical_gbdt,2469.0,741.0,0.4472260748959779,0.1710818307905686,0.0,0.0,0.5006756756756757,0.05,1.0013513513513514,0.2,776580.0,60.0,406.0,406.0,,,,
S5_低重叠高漂移,11,oot,L3c_SplitNN_形态A双向,splitnn,2469.0,741.0,0.5868932038834951,0.22552011095700414,2.002702702702703,0.1,2.5033783783783785,0.25,1.502027027027027,0.3,147456.0,72.0,,,1.0,,,
S5_低重叠高漂移,11,oot,L3c_SplitNN_形态B自监督,splitnn,2469.0,741.0,0.5878640776699029,0.23509015256588073,2.002702702702703,0.1,2.5033783783783785,0.25,2.002702702702703,0.4,73728.0,72.0,,,0.0,,,
S5_低重叠高漂移,11,oot,L3c_SplitNN_形态B随机,splitnn,2469.0,741.0,0.5484743411927878,0.21171983356449375,2.002702702702703,0.1,1.502027027027027,0.15,1.0013513513513514,0.2,73728.0,72.0,,,0.0,,,
S5_低重叠高漂移,11,oot,L0_内地单方_UPLIFT,t_learner,2469.0,741.0,,,,,,,,,,,,,,0.009043791559763292,0.08625730994152048,
S5_低重叠高漂移,11,oot,L1_加k匿名统计_UPLIFT,t_learner,2469.0,741.0,,,,,,,,,,,,,,0.0049644046207368295,0.0,
S5_低重叠高漂移,11,oot,L2_加粗粒度标记_UPLIFT,t_learner,2469.0,741.0,,,,,,,,,,,,,,0.01118270784279679,0.1286549707602339,
S5_低重叠高漂移,11,oot,L4_集中式_UPLIFT,t_learner,2469.0,741.0,,,,,,,,,,,,,,0.01314340844418863,0.12307692307692308,
S5_低重叠高漂移,11,oot,OVERLAP_L1_vs_L3a_联邦LR,top_k_overlap,,,,,,,,,,,,,,,,,,0.4594594594594595
S5_低重叠高漂移,11,oot,OVERLAP_L1_vs_L3b_纵向GBDT,top_k_overlap,,,,,,,,,,,,,,,,,,0.13513513513513514
S5_低重叠高漂移,11,oot,OVERLAP_L1_vs_L3c_SplitNN_形态A双向,top_k_overlap,,,,,,,,,,,,,,,,,,0.28378378378378377
S5_低重叠高漂移,22,random,L0_内地单方_LR,logistic,2375.0,713.0,0.7822812051649928,0.49704088952654235,3.819642857142857,0.1875,5.021126760563381,0.5,2.8243838028169015,0.5625,0.0,,,,,,,
S5_低重叠高漂移,22,random,L1_加k匿名统计_LR,logistic,2375.0,713.0,0.7914275466284075,0.504842180774749,2.5464285714285713,0.125,4.393485915492958,0.4375,2.8243838028169015,0.5625,378.0,,,,,,,
S5_低重叠高漂移,22,random,L2_加粗粒度标记_LR,logistic,2375.0,713.0,0.7792324246771879,0.4999103299856528,3.819642857142857,0.1875,4.393485915492958,0.4375,2.8243838028169015,0.5625,0.0,,,,,,,
S5_低重叠高漂移,22,random,L4_集中式_LR,logistic,2375.0,713.0,0.8205703012912483,0.5202654232424677,7.639285714285714,0.375,5.648767605633803,0.5625,3.138204225352113,0.625,0.0,,,,,,,
