scenario,seed,split,level,algo,n_usable,n_test,auc,ks,lift@5,recall@5,lift@10,recall@10,lift@20,recall@20,comm_floats,sweep_param,sweep_value,comm_rounds,comm_grad_msgs,comm_hist_msgs,gradient_returned,auuc,uplift@10,topk_overlap@10
SWEEP_complementarity_0.0,22,random,L4_集中式_LR,logistic,7169.0,2151.0,0.7514671896855805,0.39908319649698965,6.062750333778371,0.30158730158730157,4.1289036544850495,0.4126984126984127,2.937873754152824,0.5873015873015873,0.0,complementarity,0.0,,,,,,,
SWEEP_complementarity_0.0,22,random,L0_内地单方_GBDT,gbdt,7169.0,2151.0,0.7243583895882747,0.3412014230979748,5.105473965287049,0.25396825396825395,3.8112956810631227,0.38095238095238093,2.3026578073089703,0.4603174603174603,0.0,complementarity,0.0,60.0,0.0,0.0,,,,
SWEEP_complementarity_0.0,22,random,L4_集中式_GBDT,gbdt,7169.0,2151.0,0.7347883597883598,0.3715106732348112,4.786381842456608,0.23809523809523808,3.176079734219269,0.31746031746031744,2.620265780730897,0.5238095238095238,1963432.0,complementarity,0.0,60.0,412.0,412.0,,,,
SWEEP_complementarity_0.0,22,random,L3a_联邦LR,federated_logistic,7169.0,2151.0,0.751064282673478,0.39908319649698965,6.062750333778371,0.30158730158730157,4.1289036544850495,0.4126984126984127,2.937873754152824,0.5873015873015873,4014400.0,complementarity,0.0,400.0,,,,,,
SWEEP_complementarity_0.0,22,random,L3b_纵向GBDT,vertical_gbdt,7169.0,2151.0,0.7347883597883598,0.3715106732348112,4.786381842456608,0.23809523809523808,3.176079734219269,0.31746031746031744,2.620265780730897,0.5238095238095238,1963432.0,complementarity,0.0,60.0,412.0,412.0,,,,
SWEEP_complementarity_0.0,22,random,L3c_SplitNN_形态A双向,splitnn,7169.0,2151.0,0.7547740679924587,0.4323344280240832,4.467289719626168,0.2222222222222222,3.8112956810631227,0.38095238095238093,2.937873754152824,0.5873015873015873,466944.0,complementarity,0.0,228.0,,,1.0,,,
SWEEP_complementarity_0.0,22,random,L3c_SplitNN_形态B自监督,splitnn,7169.0,2151.0,0.742451195037402,0.3920361247947455,4.786381842456608,0.23809523809523808,3.493687707641196,0.3492063492063492,2.7790697674418605,0.5555555555555556,233472.0,complementarity,0.0,228.0,,,0.0,,,
SWEEP_complementarity_0.0,22,random,L3c_SplitNN_形态B随机,splitnn,7169.0,2151.0,0.7542039165602383,0.390120415982485,5.42456608811749,0.2698412698412698,3.493687707641196,0.3492063492063492,2.7790697674418605,0.5555555555555556,233472.0,complementarity,0.0,228.0,,,0.0,,,
SWEEP_complementarity_0.0,22,random,L0_内地单方_UPLIFT,t_learner,7169.0,2151.0,,,,,,,,,,complementarity,0.0,,,,,0.004448835499139324,0.08463270963270964,
SWEEP_complementarity_0.0,22,random,L1_加k匿名统计_UPLIFT,t_learner,7169.0,2151.0,,,,,,,,,,complementarity,0.0,,,,,0.005234352586985253,0.09353328710124825,
SWEEP_complementarity_0.0,22,random,L2_加粗粒度标记_UPLIFT,t_learner,7169.0,2151.0,,,,,,,,,,complementarity,0.0,,,,,0.004978236801412369,0.09181377639321565,
SWEEP_complementarity_0.0,22,random,L4_集中式_UPLIFT,t_learner,7169.0,2151.0,,,,,,,,,,complementarity,0.0,,,,,0.004168248980455127,0.08226421636615812,
SWEEP_complementarity_0.0,22,random,OVERLAP_L1_vs_L3a_联邦LR,top_k_overlap,,,,,,,,,,,,complementarity,0.0,,,,,,,0.6883720930232559
SWEEP_complementarity_0.0,22,random,OVERLAP_L1_vs_L3b_纵向GBDT,top_k_overlap,,,,,,,,,,,,complementarity,0.0,,,,,,,0.5162790697674419
SWEEP_complementarity_0.0,22,random,OVERLAP_L1_vs_L3c_SplitNN_形态A双向,top_k_overlap,,,,,,,,,,,,complementarity,0.0,,,,,,,0.5767441860465117
SWEEP_complementarity_0.0,33,random,L0_内地单方_LR,logistic,7289.0,2187.0,0.6998852824077199,0.3154936230514879,2.29305373525557,0.11428571428571428,2.5796854521625168,0.2571428571428571,2.2163125204315133,0.44285714285714284,0.0,complementarity,0.0,,,,,,,
SWEEP_complementarity_0.0,33,random,L1_加k匿名统计_LR,logistic,7289.0,2187.0,0.7040286119171334,0.3225656252108779,2.5796854521625168,0.12857142857142856,2.4363695937090433,0.24285714285714285,2.4307943772474667,0.4857142857142857,384.0,complementarity,0.0,,,,,,,
SWEEP_complementarity_0.0,33,random,L2_加粗粒度标记_LR,logistic,7289.0,2187.0,0.7093528578176665,0.3585667049058641,2.866317169069463,0.14285714285714285,2.5796854521625168,0.2571428571428571,2.2163125204315133,0.44285714285714284,0.0,complementarity,0.0,,,,,,,
SWEEP_complementarity_0.0,33,random,L4_集中式_LR,logistic,7289.0,2187.0,0.7473783656117148,0.3971860449423038,3.152948885976409,0.15714285714285714,3.8695281782437747,0.38571428571428573,2.788264138607388,0.5571428571428572,0.0,complementarity,0.0,,,,,,,
SWEEP_complementarity_0.0,33,random,L0_内地单方_GBDT,gbdt,7289.0,2187.0,0.6844321479182132,0.31525069167960046,2.006422018348624,0.1,1.8631061598951508,0.18571428571428572,2.0018306636155607,0.4,0.0,complementarity,0.0,60.0,0.0,0.0,,,,
SWEEP_complementarity_0.0,33,random,L4_集中式_GBDT,gbdt,7289.0,2187.0,0.7470207166475471,0.44798569404143324,3.4395806028833555,0.17142857142857143,3.2962647444298825,0.32857142857142857,2.3593004249754825,0.4714285714285714,1998000.0,complementarity,0.0,60.0,420.0,420.0,,,,
SWEEP_complementarity_0.0,33,random,L3a_联邦LR,federated_logistic,7289.0,2187.0,0.7479924421350967,0.3976584114987516,3.152948885976409,0.15714285714285714,3.8695281782437747,0.38571428571428573,2.788264138607388,0.5571428571428572,4081600.0,complementarity,0.0,400.0,,,,,,
SWEEP_complementarity_0.0,33,random,L3b_纵向GBDT,vertical_gbdt,7289.0,2187.0,0.7470207166475471,0.44798569404143324,3.4395806028833555,0.17142857142857143,3.2962647444298825,0.32857142857142857,2.3593004249754825,0.4714285714285714,1998000.0,complementarity,0.0,60.0,420.0,420.0,,,,
SWEEP_complementarity_0.0,33,random,L3c_SplitNN_形态A双向,splitnn,7289.0,2187.0,0.7411566232539308,0.4045414670355624,2.866317169069463,0.14285714285714285,2.866317169069463,0.2857142857142857,2.716770186335404,0.5428571428571428,466944.0,complementarity,0.0,228.0,,,1.0,,,
SWEEP_complementarity_0.0,33,random,L3c_SplitNN_形态B自监督,splitnn,7289.0,2187.0,0.719967609150415,0.40478439840744995,2.866317169069463,0.14285714285714285,2.5796854521625168,0.2571428571428571,2.6452762340634197,0.5285714285714286,233472.0,complementarity,0.0,228.0,,,0.0,,,
SWEEP_complementarity_0.0,33,random,L3c_SplitNN_形态B随机,splitnn,7289.0,2187.0,0.701774748633511,0.3581213307240705,1.7197903014416778,0.08571428571428572,2.72300131061599,0.2714285714285714,2.3593004249754825,0.4714285714285714,233472.0,complementarity,0.0,228.0,,,0.0,,,
SWEEP_complementarity_0.0,33,random,L0_内地单方_UPLIFT,t_learner,7289.0,2187.0,,,,,,,,,,complementarity,0.0,,,,,0.005053178719878912,0.049760040414246004,
SWEEP_complementarity_0.0,33,random,L1_加k匿名统计_UPLIFT,t_learner,7289.0,2187.0,,,,,,,,,,complementarity,0.0,,,,,0.004920523390559181,0.052764879696074296,
SWEEP_complementarity_0.0,33,random,L2_加粗粒度标记_UPLIFT,t_learner,7289.0,2187.0,,,,,,,,,,complementarity,0.0,,,,,0.0036895054252789124,0.007416772018541934,
SWEEP_complementarity_0.0,33,random,L4_集中式_UPLIFT,t_learner,7289.0,2187.0,,,,,,,,,,complementarity,0.0,,,,,0.003778036445641147,0.027841245663027855,
SWEEP_complementarity_0.0,33,random,OVERLAP_L1_vs_L3a_联邦LR,top_k_overlap,,,,,,,,,,,,complementarity,0.0,,,,,,,0.6009174311926605
SWEEP_complementarity_0.0,33,random,OVERLAP_L1_vs_L3b_纵向GBDT,top_k_overlap,,,,,,,,,,,,complementarity,0.0,,,,,,,0.41284403669724773
SWEEP_complementarity_0.0,33,random,OVERLAP_L1_vs_L3c_SplitNN_形态A双向,top_k_overlap,,,,,,,,,,,,complementarity,0.0,,,,,,,0.5
SWEEP_complementarity_0.0,44,random,L0_内地单方_LR,logistic,7289.0,2187.0,0.7122612861866523,0.3368648356839193,4.58610747051114,0.22857142857142856,2.72300131061599,0.2714285714285714,2.287806472703498,0.45714285714285713,0.0,complementarity,0.0,,,,,,,
SWEEP_complementarity_0.0,44,random,L1_加k匿名统计_LR,logistic,7289.0,2187.0,0.7136513934813417,0.337823064984142,4.299475753604194,0.21428571428571427,2.866317169069463,0.2857142857142857,2.3593004249754825,0.4714285714285714,384.0,complementarity,0.0,,,,,,,
SWEEP_complementarity_0.0,44,random,L2_加粗粒度标记_LR,logistic,7289.0,2187.0,0.7184155476078007,0.3386395843174303,4.299475753604194,0.21428571428571427,2.72300131061599,0.2714285714285714,2.502288329519451,0.5,0.0,complementarity,0.0,,,,,,,
SWEEP_complementarity_0.0,44,random,L4_集中式_LR,logistic,7289.0,2187.0,0.7309400094473311,0.3797354747283892,4.012844036697248,0.2,3.2962647444298825,0.32857142857142857,2.573782281791435,0.5142857142857142,0.0,complementarity,0.0,,,,,,,
SWEEP_complementarity_0.0,44,random,L0_内地单方_GBDT,gbdt,7289.0,2187.0,0.6749679465550982,0.31541939402118896,4.299475753604194,0.21428571428571427,3.4395806028833555,0.34285714285714286,2.4307943772474667,0.4857142857142857,0.0,complementarity,0.0,60.0,0.0,0.0,,,,
SWEEP_complementarity_0.0,44,random,L4_集中式_GBDT,gbdt,7289.0,2187.0,0.6888454011741683,0.3283622376678588,4.299475753604194,0.21428571428571427,3.152948885976409,0.3142857142857143,2.287806472703498,0.45714285714285713,1998000.0,complementarity,0.0,60.0,420.0,420.0,,,,
SWEEP_complementarity_0.0,44,random,L3a_联邦LR,federated_logistic,7289.0,2187.0,0.7309332613536674,0.37867602402321343,4.012844036697248,0.2,3.2962647444298825,0.32857142857142857,2.573782281791435,0.5142857142857142,4081600.0,complementarity,0.0,400.0,,,,,,
