seed,L0,L1_真实,L1_安慰剂,L3a
101,0.7519275596198673,0.7491034606419222,0.736740182894029,0.8358436435359513
102,0.6980901856763926,0.7085714285714286,0.7064115195149677,0.764971580143994
103,0.7260842940440373,0.7500465933597806,0.7308967224899492,0.8264863281770016
104,0.7149774096385542,0.7183433734939759,0.7094277108433736,0.7902183734939758
105,0.7562639543537584,0.753468948978748,0.7582154965682627,0.8117009840403538
106,0.7215667311411992,0.7473962208004762,0.7180925457521202,0.7504538015176313
107,0.6703674690215068,0.7021934197407776,0.6813844181740493,0.7129896026207093
108,0.7693217344026098,0.7878619002310724,0.766385755063205,0.83051515563409
109,0.7917518054624012,0.7811607992388201,0.7839840277019544,0.8004476610878009
110,0.7321217077435,0.7332778749083525,0.7403629236929671,0.8231980711747786
111,0.8291893819738115,0.8308537558805047,0.8256908000883137,0.8487372836738507
112,0.7336793315054184,0.7388236062149105,0.7229468599033817,0.8291291291291292
113,0.7294268331732309,0.7309930529451893,0.7302134235475922,0.8064430800929986
114,0.723384888029644,0.7335186080231996,0.7224987916868052,0.8041002094409537
115,0.5969730173948773,0.5663128338583756,0.5848650869743871,0.6405629365840296
116,0.7654153689506469,0.7691438068998563,0.770072172975563,0.7836682438907523
117,0.7931742982175258,0.7796545344576085,0.7821983847440139,0.8700323762763724
118,0.7813098615455493,0.7838720367272051,0.785278404177073,0.837879779830751
119,0.601997326997327,0.6102168102168102,0.5922482922482922,0.7342738342738343
120,0.7881189785014094,0.7879002061508688,0.7899364718751314,0.8453195338466069
121,0.7513155030919124,0.7563726682627676,0.7484092334873955,0.803461917625821
122,0.686930483492088,0.7132089109166473,0.6805351196468675,0.7936381940679935
123,0.7834362747026503,0.7805709639770776,0.7821970442057778,0.8255635548211968
124,0.7405145784184665,0.7482762665693468,0.7336391955476194,0.8335049463654968
125,0.7189734075448361,0.7239764996907854,0.7207050092764378,0.8442733457019171
126,0.7675268308080808,0.7647017045454545,0.7702651515151515,0.8254024621212122
127,0.7461458831024048,0.7442347507564899,0.744465679248288,0.7552635770027074
128,0.8098241321916296,0.8103555457516995,0.8080193314215814,0.8503118294663805
129,0.7332024936504271,0.7387099841090905,0.7261738221033044,0.7670080269466364
130,0.8063657957244657,0.8125483542585681,0.8062232779097387,0.8596267390566679
131,0.7211138575015695,0.737651051475204,0.7187892341494037,0.8401698838669177
132,0.7403283242221882,0.7275215800906001,0.730372009269951,0.8024563755137637
133,0.7566314353903854,0.7601772928741903,0.7540334128878281,0.8155404023184453
134,0.7768157768157768,0.7748177748177748,0.7786361786361786,0.8117660117660118
135,0.7584583414507435,0.7665026949801935,0.752256640041561,0.8172283914539904
136,0.7815977894142252,0.786414362700945,0.7796589469184617,0.831427568202983
137,0.6779817017886088,0.678991400390142,0.6434390196994257,0.7433167568755666
138,0.7715567694108466,0.7655525209173277,0.7758558402335226,0.8090779034985044
139,0.719109488135912,0.740784565714823,0.7131147540983607,0.8191000846315393
140,0.758669094467662,0.7521316787923026,0.7307146237576905,0.8119390055106804
