n_a,n_b,comm_bytes,comm_mb,exponentiations,rounds
50000,50000,6400000,6.103515625,200000,2
500000,500000,64000000,61.03515625,2000000,2
5000000,5000000,640000000,610.3515625,20000000,2
50000000,10000000,3840000000,3662.109375,120000000,2
