seed,misattribution_rate,L0,L3a,增益
11,0.0,0.6562259244992295,0.6874598741653826,0.031233949666153116
11,0.01,0.6562259244992295,0.6848918207498715,0.028665896250642087
11,0.03,0.6562259244992295,0.7013514381099127,0.04512551361068329
11,0.05,0.6562259244992295,0.6772839625064202,0.02105803800719075
11,0.1,0.6562259244992295,0.6805662557781202,0.024340331278890792
11,0.2,0.6562259244992295,0.6763771186440678,0.020151194144838347
11,0.4,0.6562259244992295,0.6368531715459681,-0.019372752953261352
22,0.0,0.7509458144813848,0.8334671628653931,0.08252134838400838
22,0.01,0.7509458144813848,0.8306026961503421,0.07965688166895735
22,0.03,0.7509458144813848,0.8308806497938511,0.07993483531246637
22,0.05,0.7509458144813848,0.8336370234253154,0.08269120894393067
22,0.1,0.7509458144813848,0.8304482774595038,0.07950246297811903
22,0.2,0.7509458144813848,0.7976188637872728,0.046673049305888004
22,0.4,0.7509458144813848,0.7992479809756173,0.04830216649423258
33,0.0,0.6904291905062998,0.794711842450226,0.10428265194392616
33,0.01,0.6904291905062998,0.7875792298320559,0.09715003932575605
33,0.03,0.6904291905062998,0.7939021945314066,0.10347300402510684
33,0.05,0.6904291905062998,0.7872091050691671,0.09677991456286728
33,0.1,0.6904291905062998,0.7583239516987184,0.06789476119241855
33,0.2,0.6904291905062998,0.7602593957713246,0.06983020526502481
33,0.4,0.6904291905062998,0.7432645004086794,0.05283530990237961
44,0.0,0.7007073329837172,0.814680037349228,0.11397270436551077
44,0.01,0.7007073329837172,0.8147248052595899,0.11401747227587267
44,0.03,0.7007073329837172,0.8098642892774458,0.10915695629372857
44,0.05,0.7007073329837172,0.8083549711566749,0.10764763817295764
44,0.1,0.7007073329837172,0.8048247016538544,0.10411736867013721
44,0.2,0.7007073329837172,0.7647126539696345,0.06400532098591727
44,0.4,0.7007073329837172,0.7481101546411532,0.04740282165743592
55,0.0,0.746092972708209,0.803860341950988,0.05776736924277903
55,0.01,0.746092972708209,0.800814314796957,0.054721342088748015
55,0.03,0.746092972708209,0.8001408213558647,0.05404784864765577
55,0.05,0.746092972708209,0.7982121810472823,0.05211920833907335
55,0.1,0.746092972708209,0.7918216466914634,0.04572867398325442
55,0.2,0.746092972708209,0.784719352221763,0.03862637951355408
55,0.4,0.746092972708209,0.7607108417137347,0.014617869005525752
